Column1,Machine_1,Machine_2,Kolumna1
Job_1,65,89
Job_2,9,88
Job_3,8,88
Job_4,11,81
Job_5,35,35
Job_6,5,41
Job_7,7,73
Job_8,12,34
Job_9,48,23
Job_10,88,37
Job_11,44,86
Job_12,35,65
Job_13,47,78
Job_14,1,5
Job_15,14,27
Job_16,79,15
Job_17,42,77
Job_18,63,96
Job_19,96,4
Job_20,23,15
Job_21,29,36
Job_22,32,71
Job_23,86,28
Job_24,42,45
Job_25,57,6
Job_26,28,44
Job_27,30,62
Job_28,92,89
Job_29,97,1
Job_30,62,77
Job_31,70,72
Job_32,9,62
Job_33,97,51
Job_34,24,79
Job_35,32,96
Job_36,52,62
Job_37,52,12
Job_38,2,3
Job_39,81,59
Job_40,2,92
Job_41,87,96
Job_42,1,19
Job_43,53,44
Job_44,32,70
Job_45,68,55
Job_46,56,17
Job_47,24,69
Job_48,70,86
Job_49,16,97
Job_50,59,70
Job_51,93,3
Job_52,59,36
Job_53,90,67
Job_54,20,96
Job_55,52,33
Job_56,39,82
Job_57,11,92
Job_58,89,50
Job_59,31,94
Job_60,99,7
Job_61,90,60
Job_62,1,48
Job_63,69,37
Job_64,9,99
Job_65,48,80
Job_66,20,24
Job_67,33,24
Job_68,72,36
Job_69,84,99
Job_70,99,25
Job_71,18,82
Job_72,54,35
Job_73,61,41
Job_74,68,33
Job_75,21,48
Job_76,8,7
Job_77,17,33
Job_78,76,59
Job_79,22,30
Job_80,51,54
Job_81,27,27
Job_82,21,30
Job_83,28,64
Job_84,69,61
Job_85,19,4
Job_86,64,49
Job_87,44,92
Job_88,93,46
Job_89,99,37
Job_90,93,46
Job_91,95,99
Job_92,97,63
Job_93,32,87
Job_94,67,18
Job_95,95,54
Job_96,67,46
Job_97,32,47
Job_98,23,66
Job_99,2,90
Job_100,33,9
